city,country,year,local_temp,global_temp
Istanbul,Turkey,1750,13.83,8.72
Istanbul,Turkey,1751,14.14,7.98
Istanbul,Turkey,1752,9.48,5.78
Istanbul,Turkey,1753,13.42,8.39
Istanbul,Turkey,1754,13.58,8.47
Istanbul,Turkey,1755,13.36,8.36
Istanbul,Turkey,1756,14.10,8.85
Istanbul,Turkey,1757,13.90,9.02
Istanbul,Turkey,1758,12.10,6.74
Istanbul,Turkey,1759,13.13,7.99
Istanbul,Turkey,1760,12.57,7.19
Istanbul,Turkey,1761,13.76,8.77
Istanbul,Turkey,1762,13.66,8.61
Istanbul,Turkey,1763,12.72,7.50
Istanbul,Turkey,1764,13.79,8.40
Istanbul,Turkey,1765,13.72,8.25
Istanbul,Turkey,1766,13.60,8.41
Istanbul,Turkey,1767,13.32,8.22
Istanbul,Turkey,1768,12.09,6.78
Istanbul,Turkey,1769,13.29,7.69
Istanbul,Turkey,1770,13.28,7.69
Istanbul,Turkey,1771,13.20,7.85
Istanbul,Turkey,1772,14.22,8.19
Istanbul,Turkey,1773,13.74,8.22
Istanbul,Turkey,1774,14.07,8.77
Istanbul,Turkey,1775,14.35,9.18
Istanbul,Turkey,1776,13.19,8.30
Istanbul,Turkey,1777,13.18,8.26
Istanbul,Turkey,1778,13.96,8.54
Istanbul,Turkey,1779,14.04,8.98
Istanbul,Turkey,1780,13.95,9.43
Istanbul,Turkey,1781,13.70,8.10
Istanbul,Turkey,1782,13.10,7.90
Istanbul,Turkey,1783,13.31,7.68
Istanbul,Turkey,1784,13.40,7.86
Istanbul,Turkey,1785,12.57,7.36
Istanbul,Turkey,1786,13.13,8.26
Istanbul,Turkey,1787,13.61,8.03
Istanbul,Turkey,1788,13.56,8.45
Istanbul,Turkey,1789,13.74,8.33
Istanbul,Turkey,1790,13.56,7.98
Istanbul,Turkey,1791,14.09,8.23
Istanbul,Turkey,1792,13.39,8.09
Istanbul,Turkey,1793,13.27,8.23
Istanbul,Turkey,1794,13.87,8.53
Istanbul,Turkey,1795,13.66,8.35
Istanbul,Turkey,1796,13.60,8.27
Istanbul,Turkey,1797,14.25,8.51
Istanbul,Turkey,1798,13.93,8.67
Istanbul,Turkey,1799,13.29,8.51
Istanbul,Turkey,1800,13.73,8.48
Istanbul,Turkey,1801,14.37,8.59
Istanbul,Turkey,1802,14.48,8.58
Istanbul,Turkey,1803,13.36,8.50
Istanbul,Turkey,1804,13.69,8.84
Istanbul,Turkey,1805,13.12,8.56
Istanbul,Turkey,1806,13.88,8.43
Istanbul,Turkey,1807,13.99,8.28
Istanbul,Turkey,1808,12.75,7.63
Istanbul,Turkey,1809,12.40,7.08
Istanbul,Turkey,1810,12.72,6.92
Istanbul,Turkey,1811,12.95,6.86
Istanbul,Turkey,1812,12.30,7.05
Istanbul,Turkey,1813,12.62,7.74
Istanbul,Turkey,1814,12.81,7.59
Istanbul,Turkey,1815,12.54,7.24
Istanbul,Turkey,1816,12.32,6.94
Istanbul,Turkey,1817,12.74,6.98
Istanbul,Turkey,1818,13.26,7.83
Istanbul,Turkey,1819,13.14,7.37
Istanbul,Turkey,1820,13.00,7.62
Istanbul,Turkey,1821,12.97,8.09
Istanbul,Turkey,1822,13.07,8.19
Istanbul,Turkey,1823,13.44,7.72
Istanbul,Turkey,1824,14.32,8.55
Istanbul,Turkey,1825,13.08,8.39
Istanbul,Turkey,1826,13.03,8.36
Istanbul,Turkey,1827,14.09,8.81
Istanbul,Turkey,1828,13.07,8.17
Istanbul,Turkey,1829,12.65,7.94
Istanbul,Turkey,1830,13.21,8.52
Istanbul,Turkey,1831,12.84,7.64
Istanbul,Turkey,1832,11.64,7.45
Istanbul,Turkey,1833,13.05,8.01
Istanbul,Turkey,1834,13.15,8.15
Istanbul,Turkey,1835,12.56,7.39
Istanbul,Turkey,1836,13.19,7.70
Istanbul,Turkey,1837,12.46,7.38
Istanbul,Turkey,1838,12.28,7.51
Istanbul,Turkey,1839,12.77,7.63
Istanbul,Turkey,1840,12.30,7.80
Istanbul,Turkey,1841,13.70,7.69
Istanbul,Turkey,1842,12.94,8.02
Istanbul,Turkey,1843,13.22,8.17
Istanbul,Turkey,1844,12.78,7.65
Istanbul,Turkey,1845,13.48,7.85
Istanbul,Turkey,1846,13.98,8.55
Istanbul,Turkey,1847,13.57,8.09
Istanbul,Turkey,1848,13.70,7.98
Istanbul,Turkey,1849,13.09,7.98
Istanbul,Turkey,1850,12.74,7.90
Istanbul,Turkey,1851,13.77,8.18
Istanbul,Turkey,1852,13.29,8.10
Istanbul,Turkey,1853,14.34,8.04
Istanbul,Turkey,1854,13.03,8.21
Istanbul,Turkey,1855,13.36,8.11
Istanbul,Turkey,1856,12.95,8.00
Istanbul,Turkey,1857,12.24,7.76
Istanbul,Turkey,1858,12.72,8.10
Istanbul,Turkey,1859,13.50,8.25
Istanbul,Turkey,1860,13.89,7.96
Istanbul,Turkey,1861,12.57,7.85
Istanbul,Turkey,1862,12.94,7.56
Istanbul,Turkey,1863,13.47,8.11
Istanbul,Turkey,1864,12.87,7.98
Istanbul,Turkey,1865,13.05,8.18
Istanbul,Turkey,1866,13.12,8.29
Istanbul,Turkey,1867,12.81,8.44
Istanbul,Turkey,1868,13.14,8.25
Istanbul,Turkey,1869,13.57,8.43
Istanbul,Turkey,1870,13.16,8.20
Istanbul,Turkey,1871,13.16,8.12
Istanbul,Turkey,1872,14.41,8.19
Istanbul,Turkey,1873,14.03,8.35
Istanbul,Turkey,1874,13.39,8.43
Istanbul,Turkey,1875,12.37,7.86
Istanbul,Turkey,1876,13.60,8.08
Istanbul,Turkey,1877,13.57,8.54
Istanbul,Turkey,1878,13.99,8.83
Istanbul,Turkey,1879,14.07,8.17
Istanbul,Turkey,1880,12.49,8.12
Istanbul,Turkey,1881,12.74,8.27
Istanbul,Turkey,1882,13.25,8.13
Istanbul,Turkey,1883,13.32,7.98
Istanbul,Turkey,1884,12.77,7.77
Istanbul,Turkey,1885,13.74,7.92
Istanbul,Turkey,1886,13.67,7.95
Istanbul,Turkey,1887,13.69,7.91
Istanbul,Turkey,1888,12.80,8.09
Istanbul,Turkey,1889,13.20,8.32
Istanbul,Turkey,1890,13.25,7.97
Istanbul,Turkey,1891,13.10,8.02
Istanbul,Turkey,1892,13.95,8.07
Istanbul,Turkey,1893,12.48,8.06
Istanbul,Turkey,1894,12.78,8.16
Istanbul,Turkey,1895,13.61,8.15
Istanbul,Turkey,1896,13.20,8.21
Istanbul,Turkey,1897,13.28,8.29
Istanbul,Turkey,1898,13.54,8.18
Istanbul,Turkey,1899,13.60,8.40
Istanbul,Turkey,1900,14.06,8.50
Istanbul,Turkey,1901,13.97,8.54
Istanbul,Turkey,1902,13.26,8.30
Istanbul,Turkey,1903,13.45,8.22
Istanbul,Turkey,1904,13.17,8.09
Istanbul,Turkey,1905,13.30,8.23
Istanbul,Turkey,1906,13.41,8.38
Istanbul,Turkey,1907,12.65,7.95
Istanbul,Turkey,1908,12.73,8.19
Istanbul,Turkey,1909,13.72,8.18
Istanbul,Turkey,1910,13.66,8.22
Istanbul,Turkey,1911,12.86,8.18
Istanbul,Turkey,1912,13.18,8.17
Istanbul,Turkey,1913,12.94,8.30
Istanbul,Turkey,1914,13.03,8.59
Istanbul,Turkey,1915,14.00,8.59
Istanbul,Turkey,1916,14.53,8.23
Istanbul,Turkey,1917,13.81,8.02
Istanbul,Turkey,1918,13.82,8.13
Istanbul,Turkey,1919,13.86,8.38
Istanbul,Turkey,1920,12.74,8.36
Istanbul,Turkey,1921,12.95,8.57
Istanbul,Turkey,1922,13.76,8.41
Istanbul,Turkey,1923,14.46,8.42
Istanbul,Turkey,1924,13.42,8.51
Istanbul,Turkey,1925,13.91,8.53
Istanbul,Turkey,1926,14.03,8.73
Istanbul,Turkey,1927,14.29,8.52
Istanbul,Turkey,1928,13.37,8.63
Istanbul,Turkey,1929,13.29,8.24
Istanbul,Turkey,1930,14.36,8.63
Istanbul,Turkey,1931,13.66,8.72
Istanbul,Turkey,1932,13.84,8.71
Istanbul,Turkey,1933,12.68,8.34
Istanbul,Turkey,1934,14.20,8.63
Istanbul,Turkey,1935,13.94,8.52
Istanbul,Turkey,1936,14.22,8.55
Istanbul,Turkey,1937,14.79,8.70
Istanbul,Turkey,1938,13.79,8.86
Istanbul,Turkey,1939,14.23,8.76
Istanbul,Turkey,1940,13.40,8.76
Istanbul,Turkey,1941,13.32,8.77
Istanbul,Turkey,1942,12.97,8.73
Istanbul,Turkey,1943,13.16,8.76
Istanbul,Turkey,1944,13.80,8.85
Istanbul,Turkey,1945,13.32,8.58
Istanbul,Turkey,1946,14.21,8.68
Istanbul,Turkey,1947,14.31,8.80
Istanbul,Turkey,1948,13.09,8.75
Istanbul,Turkey,1949,12.78,8.59
Istanbul,Turkey,1950,13.83,8.37
Istanbul,Turkey,1951,14.23,8.63
Istanbul,Turkey,1952,14.64,8.64
Istanbul,Turkey,1953,13.03,8.87
Istanbul,Turkey,1954,13.63,8.56
Istanbul,Turkey,1955,14.57,8.63
Istanbul,Turkey,1956,12.95,8.28
Istanbul,Turkey,1957,14.09,8.73
Istanbul,Turkey,1958,14.24,8.77
Istanbul,Turkey,1959,13.03,8.73
Istanbul,Turkey,1960,14.30,8.58
Istanbul,Turkey,1961,14.04,8.80
Istanbul,Turkey,1962,14.65,8.75
Istanbul,Turkey,1963,14.07,8.86
Istanbul,Turkey,1964,13.12,8.41
Istanbul,Turkey,1965,13.48,8.53
Istanbul,Turkey,1966,15.22,8.60
Istanbul,Turkey,1967,13.47,8.70
Istanbul,Turkey,1968,13.71,8.52
Istanbul,Turkey,1969,13.79,8.60
Istanbul,Turkey,1970,14.27,8.70
Istanbul,Turkey,1971,13.77,8.60
Istanbul,Turkey,1972,13.48,8.50
Istanbul,Turkey,1973,13.31,8.95
Istanbul,Turkey,1974,13.37,8.47
Istanbul,Turkey,1975,13.95,8.74
Istanbul,Turkey,1976,12.85,8.35
Istanbul,Turkey,1977,13.94,8.85
Istanbul,Turkey,1978,13.71,8.69
Istanbul,Turkey,1979,14.37,8.73
Istanbul,Turkey,1980,13.51,8.98
Istanbul,Turkey,1981,13.99,9.17
Istanbul,Turkey,1982,13.46,8.64
Istanbul,Turkey,1983,13.61,9.03
Istanbul,Turkey,1984,13.70,8.69
Istanbul,Turkey,1985,13.47,8.66
Istanbul,Turkey,1986,13.79,8.83
Istanbul,Turkey,1987,13.19,8.99
Istanbul,Turkey,1988,13.66,9.20
Istanbul,Turkey,1989,13.90,8.92
Istanbul,Turkey,1990,14.01,9.23
Istanbul,Turkey,1991,13.21,9.18
Istanbul,Turkey,1992,13.01,8.84
Istanbul,Turkey,1993,13.32,8.87
Istanbul,Turkey,1994,14.88,9.04
Istanbul,Turkey,1995,14.14,9.35
Istanbul,Turkey,1996,13.77,9.04
Istanbul,Turkey,1997,13.16,9.20
Istanbul,Turkey,1998,14.48,9.52
Istanbul,Turkey,1999,15.00,9.29
Istanbul,Turkey,2000,14.29,9.20
Istanbul,Turkey,2001,15.11,9.41
Istanbul,Turkey,2002,14.51,9.57
Istanbul,Turkey,2003,13.91,9.53
Istanbul,Turkey,2004,14.23,9.32
Istanbul,Turkey,2005,14.23,9.70
Istanbul,Turkey,2006,14.11,9.53
Istanbul,Turkey,2007,14.98,9.73
Istanbul,Turkey,2008,14.91,9.43
Istanbul,Turkey,2009,14.95,9.51
Istanbul,Turkey,2010,15.60,9.70
Istanbul,Turkey,2011,13.65,9.52
Istanbul,Turkey,2012,14.97,9.51
Istanbul,Turkey,2013,16.02,9.61
